Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
SHITOMASI,BRISK,0,1370,125,2,4,24.658,1.168,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
SHITOMASI,BRISK,1,1301,118,2.000,4.000,19.801,2.586,MAT_BF,SEL_KNN,95,27.311,1040.225,0.361
SHITOMASI,BRISK,2,1361,123,2.000,4.000,20.135,2.591,MAT_BF,SEL_KNN,88,24.858,947.736,0.224
SHITOMASI,BRISK,3,1358,120,2.000,4.000,20.322,2.270,MAT_BF,SEL_KNN,80,26.462,1009.111,0.209
SHITOMASI,BRISK,4,1333,120,2.000,4.000,17.773,2.287,MAT_BF,SEL_KNN,90,27.517,1086.961,0.227
SHITOMASI,BRISK,5,1284,113,2.000,4.000,17.576,1.002,MAT_BF,SEL_KNN,82,26.018,916.676,0.189
SHITOMASI,BRISK,6,1322,114,2.000,4.000,20.632,2.265,MAT_BF,SEL_KNN,79,27.177,1050.526,0.210
SHITOMASI,BRISK,7,1366,123,2.000,4.000,19.032,2.180,MAT_BF,SEL_KNN,85,23.565,844.952,0.337
SHITOMASI,BRISK,8,1389,111,2.000,4.000,19.213,2.271,MAT_BF,SEL_KNN,86,25.692,934.097,0.242
SHITOMASI,BRISK,9,1339,112,2.000,4.000,17.250,2.297,MAT_BF,SEL_KNN,82,24.652,952.946,0.204

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
SHITOMASI,BRIEF,0,1370,125,2.000,4.000,22.434,2.156,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
SHITOMASI,BRIEF,1,1301,118,2.000,4.000,20.906,2.716,MAT_BF,SEL_KNN,115,6.826,110.770,0.218
SHITOMASI,BRIEF,2,1361,123,2.000,4.000,20.413,2.624,MAT_BF,SEL_KNN,111,6.149,82.721,0.243
SHITOMASI,BRIEF,3,1358,120,2.000,4.000,18.558,2.406,MAT_BF,SEL_KNN,104,6.221,83.807,0.244
SHITOMASI,BRIEF,4,1333,120,2.000,4.000,17.015,2.982,MAT_BF,SEL_KNN,101,5.540,70.793,0.239
SHITOMASI,BRIEF,5,1284,113,2.000,4.000,18.677,2.813,MAT_BF,SEL_KNN,102,5.789,78.823,0.212
SHITOMASI,BRIEF,6,1322,114,2.000,4.000,21.687,2.050,MAT_BF,SEL_KNN,102,6.431,90.098,0.224
SHITOMASI,BRIEF,7,1366,123,2.000,4.000,20.717,1.954,MAT_BF,SEL_KNN,100,5.330,74.471,0.200
SHITOMASI,BRIEF,8,1389,111,2.000,4.000,19.590,2.020,MAT_BF,SEL_KNN,109,6.674,101.587,0.238
SHITOMASI,BRIEF,9,1339,112,2.000,4.000,18.691,2.285,MAT_BF,SEL_KNN,100,6.100,98.850,0.200

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
SHITOMASI,ORB,0,1370,125,2.000,4.000,20.348,9.517,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
SHITOMASI,ORB,1,1301,118,2.000,4.000,19.041,0.890,MAT_BF,SEL_KNN,106,8.462,147.466,0.302
SHITOMASI,ORB,2,1361,123,2.000,4.000,20.358,1.015,MAT_BF,SEL_KNN,102,7.735,118.499,0.235
SHITOMASI,ORB,3,1358,120,2.000,4.000,21.224,1.034,MAT_BF,SEL_KNN,99,7.909,127.305,0.225
SHITOMASI,ORB,4,1333,120,2.000,4.000,18.517,0.837,MAT_BF,SEL_KNN,102,7.074,101.196,0.259
SHITOMASI,ORB,5,1284,113,2.000,4.000,20.038,1.033,MAT_BF,SEL_KNN,103,8.068,132.869,0.245
SHITOMASI,ORB,6,1322,114,2.000,4.000,20.298,0.916,MAT_BF,SEL_KNN,97,8.423,141.883,0.296
SHITOMASI,ORB,7,1366,123,2.000,4.000,20.612,0.891,MAT_BF,SEL_KNN,98,7.653,123.278,0.324
